Practice Name,lat,lon,display_address,Nation
Dingle Dental Surgery,52.1430592,-10.2713531,Kerry,Ireland
The Galway Dental Laboratory,53.2833738,-9.0357037,Galway,Ireland
Crystal Dental Clinic,53.3584153,-6.2539285,"565 North Circular Road, Dublin",Ireland
OC Dental,52.6716986,-6.2940328,"Paul Funge Boulevard, Gorey, Wexford",Ireland
Dental Surgery - Aidan Power BDS,51.8864325,-8.4823582,"Clareville, Cork, T12XF67",Ireland
Orthos,54.0024448,-6.4037597,"22 Park Street, Dundalk, Louth",Ireland
ArtMedica Clinic,53.3471638,-6.2815869,"6 John Street North, Dublin",Ireland
Dr. MV Larkin,53.3569873,-6.2439148,"37 North Strand Road, Dublin",Ireland
Dental House,53.3380349,-6.2660974,"13-16 Redmonds Hill, Dublin, D02 RP46",Ireland
Rathmines Road Dental,53.3209266,-6.2652007,"24 Rathmines Road Upper, Dublin",Ireland
Ethos Orthodontics,53.3326224,-6.2685502,"2 South Circular Road, Dublin, D08 DR60",Ireland
"SCR Dental - Neligan, Gilbourne & Associates",53.3322446,-6.269005,"11 South Circular Road, Dublin",Ireland
Portobello Dental Clinic,53.3325452,-6.2705628,"34 South Circular Road, Dublin",Ireland
Harcourt Health,53.3327196,-6.2646975,"35 Camden Street Upper, Dublin",Ireland
Glasheen Dental Care,51.8871658,-8.4959894,Cork,Ireland
Dr. Sean Murray,53.3587308,-6.2413522,"63 North Strand Road, Dublin",Ireland
Kilfeather Dental,53.1449833,-6.0622093,"Bow Lane, Wicklow",Ireland
Deansgrange Dental Clinic,53.2784879,-6.1633238,"2 Clonkeen Road, Deansgrange, Dublin",Ireland
Dun Laoghaire Dental,53.2915296,-6.1337666,"99 Georges Street Upper, DÃºn Laoghaire, Dublin",Ireland
Molesworth Clinic,53.340824,-6.2572159,"2 Molesworth Place, Dublin",Ireland
Brilliant Smile Dentistry,53.3472498,-6.2818626,"77 Benburb Street, Dublin",Ireland
Newpark Orthodontics,53.2906036,-6.1725229,"70 Newtownpark Avenue, Blackrock, Dublin",Ireland
Monread Dental,53.2318135,-6.653607,Kildare,Ireland
Eamonn T Noonan,52.6648493,-8.6247466,"17 Ellen Street, Limerick",Ireland
Cobh Dental Clinic,51.850467,-8.295445,"5 Casement Square, Cobh, Cork",Ireland
Docklands Dental,53.3490484,-6.2421589,"Mayor Street Lower, Dublin",Ireland
Stillorgan Village Dental,53.2895908,-6.1985663,"3 Old Dublin Road, Stillorgan, Dublin",Ireland
Dental Options,53.2940952,-6.6860987,Kildare,Ireland
Dunshaughlin Orthodontic Clinic,53.5155546,-6.5399394,"Ratoath Road, Dunshaughlin, Meath",Ireland
Stillorgan Dental Care,53.2884946,-6.1989504,"2 Kilmacud Road Lower, Dublin",Ireland
McHugh,53.8531599,-9.2936254,Mayo,Ireland
Tobin,53.8524361,-9.2931399,Mayo,Ireland
Summerhill Dental Centre,53.9473704,-8.0898378,Leitrim,Ireland
Dr. Elizabeth Melvin,53.3325101,-6.2158079,Dublin,Ireland
Booterstown Dental Practice,53.3086339,-6.1963686,"115 Rock Road, Dublin",Ireland
McMahon Dental,53.3001793,-6.1731672,"7 Maretimo Gardens West, Blackrock, Dublin, A94 F7H7",Ireland
Family Dental Practice,51.9329082,-8.5688187,Cork,Ireland
Castletroy Dental Clinic,52.6664353,-8.5748003,Limerick,Ireland
Dental Laboratory,52.9529056,-7.8025906,Tipperary,Ireland
Charlie O'Neill Dental Technician,52.662491,-8.6251512,Limerick,Ireland
Ratoath Dental & Implant Centre,53.5080025,-6.4632565,"Well Road, Ratoath, Meath",Ireland
William Purcell,53.2213385,-6.6557376,Kildare,Ireland
North City Dental,53.3894464,-6.19704,"1 Tonlegee Road, Dublin",Ireland
Baggot Dental,53.3378115,-6.2526021,"Baggot Street Lower, Dublin",Ireland
Hampton Dental,53.3348329,-6.2458288,"70 Baggot Street Lower, Dublin",Ireland
Wicklow Dental,52.9806017,-6.0439706,"Abbey Street, Wicklow",Ireland
A.S.A.P Dental Laboratory,51.8531584,-8.294971,"14 Midleton Street, Cork",Ireland
Molloy Dentist,53.3880234,-6.244635,Dublin,Ireland
Lucey Dental,53.1442106,-6.0638795,"Meridian Point, Wicklow",Ireland
Smile Solutions,53.127333,-6.0634607,"Charlesland Shopping Centre, Greystones, Wicklow, A63 TW32",Ireland
Grange Dental Practice,51.8671663,-8.4526797,Cork,Ireland
Market Dental,51.7060533,-8.5243625,"9 Market Square, Kinsale, Cork",Ireland
Kinsale Dental,51.7059426,-8.522604,"Pearse Street, Kinsale, Cork",Ireland
Market Quay Dental Surgery,51.7059416,-8.5234235,"Market Quay, Kinsale, Cork",Ireland
Douglas Medical Centre,51.8777312,-8.4366645,Cork,Ireland
Mayo Dentist and Implant Clinic,53.7998049,-9.5242265,"Mayo, F28 RD39",Ireland
Westport Dental Care,53.8002891,-9.520175,"North Mall, Westport, Mayo",Ireland
MacCurtain Street Dental,51.90146,-8.4656776,"MacCurtain Street, Cork",Ireland
T-Dental Lab,51.9015317,-8.4647915,"6 King's Terrace, Cork",Ireland
Keoghâs Dental Laboratory,53.3891864,-6.2455463,"252 Swords Road, Dublin",Ireland
Dorset Dental Clinic,53.3565442,-6.2650078,"Dorset Street Upper, Dublin",Ireland
Dental & Denture Express Clinic,53.3607492,-6.2599935,"Dorset Street Lower, Dublin",Ireland
Roseair Dental Practice,53.1456398,-6.0630658,"Eden Road, Wicklow",Ireland
Howth Road Dental,53.3707918,-6.2055375,"183 Howth Road, Dublin",Ireland
Dublin Orthodontics,53.3593624,-6.1964782,"192 Clontarf Road, Dublin",Ireland
Airport Dental & Medical,51.8478259,-8.4715737,Cork,Ireland
Declan Meagher B.D.S N.U.I,53.300218,-6.1733079,"6 Maretimo Gardens West, Blackrock, Dublin",Ireland
&Alex,53.3245558,-6.2406045,"77 Morehampton Road, Dublin, D04 DH51",Ireland
Belvedere Dental Care,51.8809939,-8.4430491,"Douglas Road, Cork",Ireland
Dr. Miriam Kenny,53.3245038,-6.2405891,"79 Morehampton Road, Dublin",Ireland
Wexford Orthodontics,52.3374699,-6.4599168,"26 Henrietta Street, Wexford",Ireland
Bowe Dental Clinic,52.6475264,-8.6189476,Limerick,Ireland
Dermot Crowley Dental Practice,52.2465382,-7.0827495,Waterford,Ireland
Wexford Dental Clinic,52.3398189,-6.4607437,"Custom House Quay, Wexford",Ireland
