Practice Name,lat,lon,display_address,Nation
Dublin Dental Clinic,53.3551664,-6.2644495,"32 Frederick Street North, Dublin, D01 H5W6",Ireland
Devon Park Dental,53.2654235,-9.072647,"108 Lower Salthill Road, Galway",Ireland
Quay Dental,53.2769177,-9.0522914,"12 Walsh's Terrace, Galway",Ireland
Forster Court Dental,53.2761822,-9.0462803,"Forster Court, Galway",Ireland
Galway Dental Group,53.2823723,-9.0407224,"Sean Mulvoy Road, Galway",Ireland
Gate Dental Clinic,53.2721201,-9.0492452,"25 Dock Road, Galway",Ireland
JME Dental and Aesthetics,53.2860991,-9.0350384,Galway,Ireland
no. 8 Dental & Cosmetic Clinic,52.6626491,-8.6291094,Limerick,Ireland
Owl Dental,52.3433017,-6.4654959,"Redmond Road, Wexford",Ireland
Irish Specialist Dentistry Service,52.3425491,-6.4643296,"Redmond Square, Wexford",Ireland
Brennan Dental,52.3384987,-6.4630655,"Rowe Street, Wexford",Ireland
Langton's,52.6553739,-7.2571439,"Dean Street, Kilkenny",Ireland
Ballincollig Braces,51.8854705,-8.608342,Cork,Ireland
Shankill Village Dental,53.2308842,-6.1242188,Dublin,Ireland
Rush Dental Surgery,53.5219525,-6.1032239,Dublin,Ireland
Dunboyne Orthodontics,53.4205304,-6.476186,Meath,Ireland
Southgate Dental,53.7017098,-6.3106169,Meath,Ireland
Castleisland Dental,52.2330481,-9.4586201,"150 Main Street, Kerry",Ireland
Bridge Place Dental Practice,52.2689106,-9.7082787,Kerry,Ireland
Old Bridge Dental,52.3491182,-7.7046375,Tipperary,Ireland
O'Connell Dental Surgery,52.3522135,-7.6995245,Tipperary,Ireland
Dublin 18 Dental Rooms,53.261393,-6.1512856,"unit 2 Old Bray Road, Dublin",Ireland
Boherbee Dental,52.2690625,-9.6979798,"59 Boherbee, Kerry, V92 AY27",Ireland
Counihan Orthodontics,52.2675226,-9.7091979,"Prince's Street, Tralee, Kerry, V92X6YK",Ireland
Kerry Denture Clinic,52.2673325,-9.7086476,"Ivy Terrace, Tralee, Kerry, V92 W891",Ireland
Susan Crean Dental,52.2683743,-9.7056204,"12 Denny Street, Tralee, Kerry, V92 ARY9",Ireland
ThurlesDentist.ie,52.7960829,-7.8335238,Tipperary,Ireland
Fairies Cross Dental,52.2723023,-9.6973732,"Tralee, Kerry",Ireland
Clinic 4 U,53.3489358,-6.2575029,"Marlborough Street, Dublin",Ireland
Merrion Dentistry,53.2890963,-6.2007811,"Kilmacud Road Lower, Dublin",Ireland
Ormond,52.6792723,-7.812813,Tipperary,Ireland
Dental & Orthodontist Centre,52.4743387,-8.1566923,Tipperary,Ireland
O'Sullivan Dental,52.3531637,-7.7046811,Tipperary,Ireland
J.P O'Flannigan & Sons,52.6644685,-8.6240284,Limerick,Ireland
Castletroy Orthodontics,52.6629826,-8.5377419,Limerick,Ireland
Greystones Dental Centre,53.1451262,-6.0760812,"Greystones Shopping Centre, Wicklow",Ireland
St John's Dental Clinic,52.2706364,-9.7034706,"34 Ashe Street, Tralee, Kerry",Ireland
Westmount Dental,52.9845027,-6.0511665,"Church Hill, Wicklow",Ireland
Gleeson's Dental Surgery,52.0585888,-9.5064972,"4 Saint Anthony's Place, Killarney, Kerry, V93 HT6D",Ireland
Haly Dental Care,51.8949782,-8.4726749,"35A Mary Street, Cork",Ireland
Galtymore Dental,53.3345837,-6.3189979,"137 Galtymore Road, Dublin",Ireland
Crumlin Road Dental,53.3266131,-6.3130246,"325 Crumlin Road, Dublin",Ireland
Balbriggan Dental and Implant Clinic,53.6106788,-6.185997,"6 Chapel Street, Balbriggan, Dublin",Ireland
Riverside Dental Care,51.897196,-8.4007216,"25a Ferney Road, Cork, T12PH98",Ireland
Fenn Dental,51.8982626,-8.4800506,Cork,Ireland
DBdental,53.1386261,-8.9381636,Galway,Ireland
Ballybrack Dental,53.253667,-6.124146,Dublin,Ireland
Unique Dental Dublin,53.3373713,-6.2864045,Dublin,Ireland
Bishopstown Dental Clinic,51.8792822,-8.5170825,"Bishopstown Road, Cork, T12 YP5R",Ireland
Nostra Dental,51.8792323,-8.5199438,"2 Firview Curraheen Road, Cork, T12 NF20",Ireland
Dental Studio,52.991746,-6.9838208,"8 Emily Square, Kildare",Ireland
Smiles Creation,53.3800751,-6.1781914,"Unit 14 Howth Road, Dublin",Ireland
Erris Dental,54.2236279,-9.9896937,Mayo,Ireland
Expressions Dental & Cosmetic care,52.9555267,-7.7993514,"Main Street, Roscrea, Tipperary",Ireland
"O'Reilly, Johnston, Merrick Dentists",53.3818306,-6.589479,"7 Main Street, Maynooth, Kildare",Ireland
Carne Dental Surgery,53.2921166,-6.1508967,"10 Pakenham Road, Dublin",Ireland
The Belfield Clinic,53.3106988,-6.2188703,"174 Stillorgan Road, Dublin",Ireland
Dundrum Dental Surgery,53.2907758,-6.2449737,"1 Pembroke Terrace, Dublin",Ireland
Clifford Dental Care,53.2895445,-6.2434795,"18 Pembroke Cottages, Dublin",Ireland
Adrian M Loomes,53.3844095,-6.3886504,"118 Clonsilla Road, Blanchardstown, Dublin",Ireland
Seapoint Clinic,53.2984522,-6.167157,"25 Seapoint Avenue, Dublin",Ireland
Rosemary Smith - Dental Clinic,53.7948485,-9.5058502,Mayo,Ireland
Alexandra Dental Practice,52.655663,-8.6348167,"6 Alexandra Terrace, Limerick",Ireland
Mountain Park Dental Practice,53.2841263,-6.3557904,"51 Mountain Park, Dublin",Ireland
The Fresh Breath Clinic,53.2960671,-6.2620037,"67 Churchtown Road Upper, Dublin",Ireland
Birr Dental Clinic,53.0952469,-7.9092326,"Wilmer Road, Birr, Offaly",Ireland
Clontarf Dental Practice,53.3595372,-6.1967784,"189 Clontarf Road, Dublin",Ireland
The Dalkey Clinic,53.2783158,-6.1069157,"5 Ulverton Place, Dalkey, Dublin",Ireland
Smiles Orthodontics,53.3410061,-6.2596149,"27 Anne Street South, Dublin",Ireland
D11 Dental,53.3897086,-6.264986,"Ballymun Road, Dublin",Ireland
The Lucan Clinics,53.3520053,-6.4617995,"12 Dodsborough Road, Lucan, Dublin",Ireland
Orthopoint Orthodontic Clinic,53.5252899,-7.3346624,Westmeath,Ireland
Mullingar Dental Clinic,53.5264599,-7.3426667,Westmeath,Ireland
Burlington Dental Clinic,53.3307876,-6.2463634,"16 Burlington Road, Dublin",Ireland
Fairview Dentist,53.3628546,-6.2387434,"Fairview Strand, Dublin",Ireland
HSE Mahon Health Centre,51.8922755,-8.4013639,"Lakelands Crescent, Cork",Ireland
Northumberland Dental Care,53.3348492,-6.2366918,"58 Northumberland Road, Dublin",Ireland
Dr John Canavan,53.3721088,-6.2383967,"86 Griffith Avenue, Dublin",Ireland
Clancy Dental,52.0607052,-9.48607,"Park Road, Killarney, Kerry",Ireland
Virginia Dental Care and Implants,53.8354624,-7.0834761,"Cavan, A82 KH33",Ireland
Clane Teeth Dental Practice,53.2889896,-6.6849293,Kildare,Ireland
Tawnycoolawee Dental Surgery,53.8793816,-9.3225437,Mayo,Ireland
Youghal Dentist,51.949871,-7.8442681,Cork,Ireland
Wallace Dental Clinic,52.6297592,-8.6428092,Limerick,Ireland
Wrightville Clinic,51.8878264,-8.4562914,"Douglas Road, Cork",Ireland
Premier Dental,52.6772414,-7.8130627,Tipperary,Ireland
Friairy Dental Care,52.6784529,-7.8177014,Tipperary,Ireland
Cashel Dental,52.5162349,-7.8895305,Tipperary,Ireland
Giles Baily,53.382151,-6.3816817,"2a, Dublin",Ireland
DG Dental,53.463928,-6.2158858,"Seatown West, Swords, Dublin",Ireland
Paul Dowling Orthodontics,53.2243537,-6.6538312,"Dublin Road, Kildare",Ireland
Ashgrove Dental,53.2244005,-6.6534587,"Dublin Road, Kildare",Ireland
Castleknock Dental Practice,53.3735348,-6.3627109,Dublin,Ireland
Bill Clark Dental,53.3792635,-6.2264495,"151 Celtic Park Avenue, Dublin",Ireland
Springfield Dental Surgery,53.287538,-6.382672,"23 Maplewood Road, Dublin, 24",Ireland
Glenview Dental Surgery,53.2887643,-6.3436457,"Glenview Park, Dublin",Ireland
Lyden Dental,51.8179657,-8.3912183,"Cork Road, Cork, P43 KD96",Ireland
O'Loughlin's Dental Practice,53.3638799,-6.2717775,"116 Phibsborough Road, Dublin",Ireland
Drumcondra Village Dental,53.3676483,-6.2551631,"159 Drumcondra Road Lower, Dublin",Ireland
Gurranabraher Dental,51.9040595,-8.4885294,Cork,Ireland
Peter Doyle Dental Centre,54.2703024,-8.4763627,"John Street, Sligo, F91 PY13",Ireland
Arramore Dental Clinic,52.4734336,-8.1599722,Tipperary,Ireland
Sean P Tunney,53.3190894,-6.2122757,"172 Merrion Road, Dublin",Ireland
Beechwood Dental,53.3210348,-6.255395,"9 Dunville Avenue, Dublin",Ireland
Ballincollig Dental,51.8883564,-8.5845272,Cork,Ireland
Ganter Crowe Dental Care,53.3153944,-6.2948595,"296 Kimmage Road Lower, Dublin",Ireland
Central Dental Clinic Lucan,53.3560164,-6.4514191,"Lucan Road, Lucan, Dublin, K78 K8F7",Ireland
R. Dent,53.2806795,-9.0460562,"Headford Road, Galway",Ireland
Mulholland Dental Practise,53.5811735,-6.10695,"7 Strand Street, Skerries, Dublin",Ireland
Flynn's Dental Care,52.2722179,-9.7035005,"Unit 7 Cathair Dannan, Tralee, Kerry, V92 FP92",Ireland
Newcastle Dental,53.3000077,-6.501943,"1 Market Square, Newcastle, Dublin, D22Y2R2",Ireland
Finglas Dental Care,53.3895147,-6.2996305,Dublin,Ireland
Roche Blinds & Curtains,53.3891729,-6.2456781,Dublin,Ireland
Raheny Dental Centre,53.3781554,-6.1850091,"436 Howth Road, Dublin",Ireland
High Road Dental Surgery,54.9530689,-7.7355827,"High Road, Letterkenny, Donegal",Ireland
JP McKenna,53.9152865,-6.9698997,Cavan,Ireland
Cavan Denture Clinic,53.9888699,-7.3622738,Cavan,Ireland
Frazer Dental,53.9062306,-6.8059911,Cavan,Ireland
Kingscourt Dental,53.9061696,-6.8057662,Cavan,Ireland
Quali-Teeth Dental Care,54.1196382,-6.7365495,"2 York Street, Castleblayney, Monaghan, A75 PX40",Ireland
KMcG Dental Surgery,53.8552237,-6.5411635,"Jervis Street, Ardee, Louth",Ireland
Swords Orthodontist,53.458485,-6.2200718,Dublin,Ireland
Vivian Mongey,53.4572641,-6.2207602,Dublin,Ireland
Sandyrord Dental Practice,53.264045,-6.2153035,Dublin,Ireland
Rear of 37,53.3968483,-6.2448662,"37a Swords Road, Dublin",Ireland
